linkedin_id,company_name,mean,std,q10,q50,q90,n_employees,headcount_ratio,headcount_mismatch
talentech-digital-llc,TalenTech Digital,0.162109375,0.43423991126692785,0.0,0.0,1.0,15,0.9333333333333333,False
cybersift.io,Cybersift,0.16015625,0.4095233211746768,0.0,0.0,1.0,14,1.5555555555555556,False
techno-pro-india,TechnoPro India,0.16015625,0.43045031720970717,0.0,0.0,1.0,15,3.0,False
xpertdataworks,Xpert Data Works,0.154296875,0.3972821407579686,0.0,0.0,1.0,15,1.5,False
lexoro,lexoro,0.15234375,0.38303166557862744,0.0,0.0,1.0,16,1.0666666666666667,False
bds-chile,Business Data Solutions,0.1474609375,0.3986468793451431,0.0,0.0,1.0,24,0.5416666666666666,False
sharpware,Sharpware,0.140625,0.3694247005480278,0.0,0.0,1.0,12,1.7142857142857142,False
nibgat,NİBGAT®,0.138671875,0.39812621878492804,0.0,0.0,1.0,13,0.9230769230769231,False
analytics-town,Analytics Town,0.1357421875,0.39544752626956065,0.0,0.0,1.0,11,1.375,False
tmltlabs,Tumult Labs,0.134765625,0.37422099262115077,0.0,0.0,1.0,9,0.5555555555555556,False
pentadata,Pentadata Infokom Persada,0.1328125,0.3749186109594321,0.0,0.0,1.0,14,1.4,False
themoonshotfactory,The Moonshot Factory,0.1318359375,0.3739596877786376,0.0,0.0,1.0,11,1.2222222222222223,False
augur-it-consulting,Augur IT Consulting,0.130859375,0.370368328795281,0.0,0.0,1.0,12,3.0,False
latamdigi,Latam Digital,0.125,0.369754986443726,0.0,0.0,1.0,12,1.0909090909090908,False
sr-international-inc,SR International,0.1201171875,0.36473661561062093,0.0,0.0,1.0,12,1.3333333333333333,False
irrevo,Irrevo,0.1142578125,0.3502675260179208,0.0,0.0,1.0,12,3.0,False
overcode.tech,OVERCODE,0.109375,0.33034960174790584,0.0,0.0,1.0,12,1.0,False
chi-squarex,Chi SquareX,0.109375,0.3391021002220423,0.0,0.0,1.0,10,2.5,False
www-doublecheckconsulting-com,Double Check Consulting,0.1064453125,0.33859409024195525,0.0,0.0,0.0,10,1.1111111111111112,False
ignous,Ignous,0.099609375,0.3184432404873895,0.0,0.0,0.0,8,1.1428571428571428,False
lukasa-llc,Lukasa,0.0927734375,0.3096534785763493,0.0,0.0,0.0,8,2.6666666666666665,False
hyquest-consulting-solutions-llc,HyQuest Consulting Solutions,0.0869140625,0.2919235914408873,0.0,0.0,0.0,9,1.125,False
data-sleek,Data-Sleek,0.083984375,0.28773316589482584,0.0,0.0,0.0,8,1.3333333333333333,False
muons-technology,Muons Technology,0.0830078125,0.28288472133355813,0.0,0.0,0.0,8,1.6,False
courart-inform-tica-ltda,Courart Informática,0.078125,0.2790714234295586,0.0,0.0,0.0,8,1.6,False
digiwisehub,Digiwise,0.078125,0.2790714234295586,0.0,0.0,0.0,15,0.4666666666666667,False
qexpert,Qexpert,0.076171875,0.27961083752062327,0.0,0.0,0.0,6,2.0,False
gefatec-sistemas-software-e-consultoria,Gefatec,0.068359375,0.2599858089388907,0.0,0.0,0.0,7,2.3333333333333335,False
vertex-laboratories,Vertex Laboratories,0.0576171875,0.23717203082275498,0.0,0.0,0.0,6,1.5,False
information-workers-group,Information Workers Group,0.0546875,0.2316244856308374,0.0,0.0,0.0,6,1.5,False
springbok-ai,Springbok AI,0.0546875,0.23580294176229016,0.0,0.0,0.0,6,1.5,False
iinumbers,iiNumbers,0.04296875,0.2167528812344544,0.0,0.0,0.0,4,1.3333333333333333,False
aiqrate,AIQRATE,0.0380859375,0.19643961887752198,0.0,0.0,0.0,3,3.0,False
youneed-s.a.s,YouNeeD,0.037109375,0.18902981057788049,0.0,0.0,0.0,4,1.3333333333333333,False
new-outcome,New Outcome,0.0361328125,0.19178205693140285,0.0,0.0,0.0,5,2.5,False
taristechnologies,Taris Technologies,0.0361328125,0.18662055717642642,0.0,0.0,0.0,4,1.3333333333333333,False
evergopartners,Evergo,0.033203125,0.18453672396093515,0.0,0.0,0.0,5,0.6,False
q-noon,Q-Noon,0.033203125,0.1791666193525858,0.0,0.0,0.0,3,3.0,False
tqcs,The Quantitative Consulting & Solutions,0.033203125,0.18453672396093515,0.0,0.0,0.0,3,1.0,False
-.technology-sarl,Technology,0.0302734375,0.17694654978815946,0.0,0.0,0.0,3,1.0,False
stowe-research-international-inc,Stowe Research International,0.029296875,0.1743321344882646,0.0,0.0,0.0,2,2.0,False
aiso-lab,aiso-lab,0.02734375,0.16308301363396954,0.0,0.0,0.0,2,2.0,False
amplient-labs,Amplient Labs,0.0263671875,0.17198316465090369,0.0,0.0,0.0,2,2.0,False
flowplus-helping-you-work-smarter,FlowPlus,0.0244140625,0.15433086552030378,0.0,0.0,0.0,3,1.5,False
data-cowboys-llc,Data Cowboys,0.0224609375,0.14817706903101133,0.0,0.0,0.0,2,2.0,False
albitech-consulting-oy,Albitech Consulting,0.0224609375,0.14817706903101133,0.0,0.0,0.0,2,1.0,False
sevn3-ai,Sevn3.ai,0.021484375,0.15157810406143551,0.0,0.0,0.0,3,0.6666666666666666,False
inftech-gmbh,Inftech,0.0185546875,0.14199836644052405,0.0,0.0,0.0,2,1.0,False
tarahai,Tarah AI,0.015625,0.12401959270615269,0.0,0.0,0.0,2,0.5,False
hubthunder,HubThunder,0.0126953125,0.11195598036964056,0.0,0.0,0.0,1,1.0,False
kantic-analytics,Kantic Analytics,0.0126953125,0.11195598036964056,0.0,0.0,0.0,2,2.0,False
genysolutions,Gen Y Solutions,0.0078125,0.08804240366863003,0.0,0.0,0.0,1,1.0,False
knowm-inc,Knowm,0.0078125,0.08804240366863003,0.0,0.0,0.0,1,1.0,False
